model_id,task,format,uid,valid,qa_s_correct,qa_p_correct,qa_s,qa_p,jsem_filled_1_10,jsem_observed,jsem_normalized,judge,qa_micro,chamfer_distance,chamfer_distance_score,iou_csg,f_score_005,f_score_001,normal_consistency,no_open_edge,inverted_normal_score,non_manifold_edge_score,iou_measured,iou_inapplicable,geometry,topology
text2cad,parametric,json,0043/00431078,True,0,0,0.0,0.0,,,,0.0,0.0,0.003876,0.6124,0.0896,0.398,0.0539,0.2633,1.0,1.0,1.0,True,False,0.2548,1.0
text2cad,parametric,json,0073/00737056,True,0,2,0.0,0.25,,,,0.16666666666666666,0.16666666666666666,0.004283,0.5717,0.1541,0.4364,0.0952,0.4317,1.0,1.0,1.0,True,False,0.313175,1.0
text2cad,parametric,json,0078/00788594,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.010947,0.0,0.0285,0.2013,0.0247,0.2789,1.0,1.0,1.0,True,False,0.083025,1.0
text2cad,parametric,json,0067/00677148,True,1,2,0.25,0.25,,,,0.25,0.25,0.007307,0.2693,0.2206,0.4648,0.0424,0.3804,1.0,1.0,1.0,True,False,0.228175,1.0
text2cad,parametric,json,0093/00937375,True,0,2,0.0,0.25,,,,0.16666666666666666,0.16666666666666666,0.010461,0.0,0.0167,0.2358,0.0357,0.3555,1.0,1.0,1.0,True,False,0.101975,1.0
text2cad,parametric,json,0072/00726428,True,1,2,0.25,0.25,,,,0.25,0.25,0.006622,0.3378,0.1755,0.3714,0.0364,0.2658,1.0,1.0,1.0,True,False,0.203875,1.0
text2cad,parametric,json,0049/00497058,True,1,1,0.25,0.125,,,,0.16666666666666666,0.16666666666666666,0.003878,0.6122000000000001,0.0,0.5694,0.0777,0.4316,1.0,1.0,1.0,False,True,0.28037500000000004,1.0
text2cad,parametric,json,0013/00133189,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.031921,0.0,0.0183,0.1274,0.0158,0.5227,1.0,1.0,1.0,True,False,0.13920000000000002,1.0
text2cad,parametric,json,0024/00249966,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.007101,0.28990000000000005,0.015,0.2236,0.0444,0.2773,1.0,1.0,1.0,True,False,0.15665,1.0
text2cad,parametric,json,0004/00042777,True,0,3,0.0,0.375,,,,0.25,0.25,0.003499,0.6501,0.2585,0.6265,0.0552,0.4744,1.0,1.0,1.0,True,False,0.35955,1.0
